,activity_date,registration_date,active_users_count
0,2019-06-01,2019-06-01,1651
1,2019-06-02,2019-06-01,1429
2,2019-06-02,2019-06-02,1933
3,2019-06-03,2019-06-01,1021
4,2019-06-03,2019-06-02,1550
5,2019-06-03,2019-06-03,1432
6,2019-06-04,2019-06-01,849
7,2019-06-04,2019-06-02,1163
8,2019-06-04,2019-06-03,1244
9,2019-06-04,2019-06-04,1473
10,2019-06-05,2019-06-01,694
11,2019-06-05,2019-06-02,989
12,2019-06-05,2019-06-03,871
13,2019-06-05,2019-06-04,1245
14,2019-06-05,2019-06-05,1349
15,2019-06-06,2019-06-01,652
16,2019-06-06,2019-06-02,863
17,2019-06-06,2019-06-03,727
18,2019-06-06,2019-06-04,964
19,2019-06-06,2019-06-05,1221
20,2019-06-06,2019-06-06,1418
21,2019-06-07,2019-06-01,588
22,2019-06-07,2019-06-02,765
23,2019-06-07,2019-06-03,632
24,2019-06-07,2019-06-04,755
25,2019-06-07,2019-06-05,892
26,2019-06-07,2019-06-06,1198
27,2019-06-07,2019-06-07,1180
28,2019-06-08,2019-06-01,545
29,2019-06-08,2019-06-02,688
30,2019-06-08,2019-06-03,516
31,2019-06-08,2019-06-04,619
32,2019-06-08,2019-06-05,689
33,2019-06-08,2019-06-06,816
34,2019-06-08,2019-06-07,938
35,2019-06-08,2019-06-08,1081
36,2019-06-09,2019-06-01,536
37,2019-06-09,2019-06-02,683
38,2019-06-09,2019-06-03,495
39,2019-06-09,2019-06-04,558
40,2019-06-09,2019-06-05,589
41,2019-06-09,2019-06-06,699
42,2019-06-09,2019-06-07,698
43,2019-06-09,2019-06-08,986
44,2019-06-09,2019-06-09,1632
45,2019-06-10,2019-06-01,483
46,2019-06-10,2019-06-02,639
47,2019-06-10,2019-06-03,484
48,2019-06-10,2019-06-04,569
49,2019-06-10,2019-06-05,562
50,2019-06-10,2019-06-06,662
51,2019-06-10,2019-06-07,606
52,2019-06-10,2019-06-08,751
53,2019-06-10,2019-06-09,1443
54,2019-06-10,2019-06-10,1406
55,2019-06-11,2019-06-01,460
56,2019-06-11,2019-06-02,576
57,2019-06-11,2019-06-03,467
58,2019-06-11,2019-06-04,511
59,2019-06-11,2019-06-05,527
60,2019-06-11,2019-06-06,553
61,2019-06-11,2019-06-07,545
62,2019-06-11,2019-06-08,611
63,2019-06-11,2019-06-09,1053
64,2019-06-11,2019-06-10,1220
65,2019-06-11,2019-06-11,1310
66,2019-06-12,2019-06-01,423
67,2019-06-12,2019-06-02,545
68,2019-06-12,2019-06-03,416
69,2019-06-12,2019-06-04,447
70,2019-06-12,2019-06-05,472
71,2019-06-12,2019-06-06,512
72,2019-06-12,2019-06-07,469
73,2019-06-12,2019-06-08,536
74,2019-06-12,2019-06-09,864
75,2019-06-12,2019-06-10,866
76,2019-06-12,2019-06-11,1152
77,2019-06-12,2019-06-12,1403
78,2019-06-13,2019-06-01,400
79,2019-06-13,2019-06-02,477
80,2019-06-13,2019-06-03,394
81,2019-06-13,2019-06-04,412
82,2019-06-13,2019-06-05,433
83,2019-06-13,2019-06-06,460
84,2019-06-13,2019-06-07,413
85,2019-06-13,2019-06-08,467
86,2019-06-13,2019-06-09,744
87,2019-06-13,2019-06-10,756
88,2019-06-13,2019-06-11,862
89,2019-06-13,2019-06-12,1168
90,2019-06-13,2019-06-13,1226
91,2019-06-14,2019-06-01,383
92,2019-06-14,2019-06-02,483
93,2019-06-14,2019-06-03,361
94,2019-06-14,2019-06-04,378
95,2019-06-14,2019-06-05,391
96,2019-06-14,2019-06-06,428
97,2019-06-14,2019-06-07,385
98,2019-06-14,2019-06-08,433
99,2019-06-14,2019-06-09,671
100,2019-06-14,2019-06-10,656
