,registration_date,registered_users_count
0,2019-06-01,4833
1,2019-06-02,5255
2,2019-06-03,4193
3,2019-06-04,4194
4,2019-06-05,3998
5,2019-06-06,3908
6,2019-06-07,3183
7,2019-06-08,2987
8,2019-06-09,4484
9,2019-06-10,4007
10,2019-06-11,3677
11,2019-06-12,3772
12,2019-06-13,3563
13,2019-06-14,3274
14,2019-06-15,3397
15,2019-06-16,3464
16,2019-06-17,2937
17,2019-06-18,2913
18,2019-06-19,2887
19,2019-06-20,3009
20,2019-06-21,2700
21,2019-06-22,2874
22,2019-06-23,3098
23,2019-06-24,2229
24,2019-06-25,2016
25,2019-06-26,2308
26,2019-06-27,2544
27,2019-06-28,2450
28,2019-06-29,2968
29,2019-06-30,3301
