,date,registration_date,users_count_with_revenue,revenue
0,2019-06-01,2019-06-01,1082,1611.86
1,2019-06-02,2019-06-01,928,317.738
2,2019-06-02,2019-06-02,1257,1305.22
3,2019-06-03,2019-06-01,623,192.273
4,2019-06-03,2019-06-02,1008,554.859
5,2019-06-03,2019-06-03,905,1026.91
6,2019-06-04,2019-06-01,585,76.8126
7,2019-06-04,2019-06-02,755,248.208
8,2019-06-04,2019-06-03,802,302.557
9,2019-06-04,2019-06-04,940,839.794
10,2019-06-05,2019-06-01,455,39.3593
11,2019-06-05,2019-06-02,635,125.087
12,2019-06-05,2019-06-03,544,37.955
13,2019-06-05,2019-06-04,811,349.404
14,2019-06-05,2019-06-05,885,915.197
15,2019-06-06,2019-06-01,433,140.806
16,2019-06-06,2019-06-02,584,45.3387
17,2019-06-06,2019-06-03,472,91.9152
18,2019-06-06,2019-06-04,651,150.74
19,2019-06-06,2019-06-05,796,65.9184
20,2019-06-06,2019-06-06,942,1225.62
21,2019-06-07,2019-06-01,388,403.853
22,2019-06-07,2019-06-02,501,163.252
23,2019-06-07,2019-06-03,410,58.821
24,2019-06-07,2019-06-04,486,188.552
25,2019-06-07,2019-06-05,612,467.585
26,2019-06-07,2019-06-06,776,187.146
27,2019-06-07,2019-06-07,792,576.24
28,2019-06-08,2019-06-01,365,176.316
29,2019-06-08,2019-06-02,457,57.6809
30,2019-06-08,2019-06-03,331,225.766
31,2019-06-08,2019-06-04,376,128.577
32,2019-06-08,2019-06-05,466,113.176
33,2019-06-08,2019-06-06,529,241.357
34,2019-06-08,2019-06-07,614,412.637
35,2019-06-08,2019-06-08,700,706.573
36,2019-06-09,2019-06-02,461,193.839
37,2019-06-09,2019-06-03,303,36.9816
38,2019-06-09,2019-06-04,364,174.707
39,2019-06-09,2019-06-05,394,118.168
40,2019-06-09,2019-06-06,455,256.79
41,2019-06-09,2019-06-07,425,193.325
42,2019-06-09,2019-06-08,662,409.657
43,2019-06-09,2019-06-09,1068,1485.38
44,2019-06-10,2019-06-01,328,29.6406
45,2019-06-10,2019-06-02,419,48.8498
46,2019-06-10,2019-06-03,320,27.7548
47,2019-06-10,2019-06-04,360,111.733
48,2019-06-10,2019-06-05,377,2.00198
49,2019-06-10,2019-06-06,417,127.633
50,2019-06-10,2019-06-07,399,116.434
51,2019-06-10,2019-06-08,501,144.41
52,2019-06-10,2019-06-09,909,269.35
53,2019-06-10,2019-06-10,925,1213.09
54,2019-06-11,2019-06-01,289,7.01417
55,2019-06-11,2019-06-02,372,124.28
56,2019-06-11,2019-06-03,293,28.0411
57,2019-06-11,2019-06-04,320,54.961
58,2019-06-11,2019-06-05,349,34.8719
59,2019-06-11,2019-06-06,363,32.7286
60,2019-06-11,2019-06-07,342,99.6906
61,2019-06-11,2019-06-08,418,164.069
62,2019-06-11,2019-06-09,685,218.621
63,2019-06-11,2019-06-10,802,421.705
64,2019-06-11,2019-06-11,856,531.699
65,2019-06-12,2019-06-01,272,58.9596
66,2019-06-12,2019-06-02,347,29.0741
67,2019-06-12,2019-06-03,292,29.1871
68,2019-06-12,2019-06-04,301,89.8903
